English,EN Definition,Spanish,ES Definition,https://www.saccourt.ca.gov/general/legal-glossaries/docs/spanish-legal-glossary.pdf
ACCORD & SATISFACTION,Agreement by the parties to settle a claim or dispute in which the parties typically agree to give or accept something.,ACUERDO Y SATISFACCIÓN,Un acuerdo entre los interesados para resolver una demanda o disputa en la cual las partes típicamente se ponen de acuerdo para dar o aceptar algo.,
ACCRUAL,The total amount of child support payments that are owed or that are late.,ACUMULACIÓN,La suma total de los pagos de sustento de menores que se deben o que están en retraso.,
ACCUSATION,A formal charge against a person.,ACUSACIÓN,Un cargo formal contra una persona.,
ACCUSED,The person that is charged with a crime and has to go to criminal court. (See DEFENDANT).,ACUSADO,La persona que ha sido acusada de un delito y tiene que comparecer ante un tribunal penal.,
ACKNOWLEDGMENT,"Saying, testifying, or assuring that something is true.",ADMISIÓN,"Declarar, dar testimonio, o asegurar que algo es verdadero.",
ACKNOWLEDGEMENT OF SATISFACTION OF JUDGMENT,"A court form that the person who wins the case must fill out, sign, and file with the court when the judgment is fully paid. If there are no liens, the back of the Notice of Entry of Judgmentcan be signed and filed with the court (See JUDGMENT CREDITOR, JUDGMENT.)",ADMISIÓN DE SATISFACCIÓN CON UN DICTAMEN O FALLO,"Un formulario que la persona que gana un caso tiene que llenar, firmar y archivar con el tribunal cuando el dictamen del juez ha sido pagado en su totalidad. Si no hay ningún derecho de retención, el reverso de la Nota de ingreso de dictamen puede ser firmado y presentado ante el tribunal (Ver FALLO DE ACREEDOR, FALLO O DICTAMEN.)",
ACQUIT,"To legally find the innocence of a person charged with a crime. To set free, release or discharge from an obligation, burden or accusation. To find a defendant not guilty in a criminal trial.",ABSOLVER,"Declarar legalmente la inocencia de una persona acusada de un delito.  Poner en libertad o descargar de obligación, cargo o acusación. Encontrar a un acusado no culpable en un juicio criminal o penal.",
ACQUITTAL,When a judge or jury finds that the person on trial is not guilty.,ABSOLUCIÓN,Cuando un juez o jurado determina que una persona acusada de un delito no es culpable.,
ACTION,"In court, when one person sues someone else to, defend or enforce a right, stop something bad from happening or fix something, or punish them for a crime.",ACCIÓN,"En un tribunal, cuando una persona demanda a otra para defender o hacer cumplir con un derecho, prevenir que pase algo malo o arreglar algo, o castigar a esta persona por un delito.",
ACTION IN PERSONAM,"Proceeding against the person for the recovery of a specific object, usually an item of personal property such as an automobile.","
ACCIÓN EN PERSONA","Proceder contra la persona para la recuperación de un objeto específico, usualmente un artículo de propiedad personal como un automóvil.",
ACTION IN REM,"Proceeding ""against the thing"" as compared to personal actions (in personam). Usually a proceeding where property is involved.",ACCIÓN EN REM,Proceder “contra el objeto” en comparación a las acciones personales. Usualmente un proceso en el que alguna propiedad está involucrada.,
ACTIVE STATUS,"A case that is in court but is not settled or decided has active status. (See DISPOSITION, PENDING.)",ESTADO ACTIVO,"Un caso  pendiente en un tribunal que no se ha llegado a un acuerdo o ha sido decidido tiene un estado activo. (Ver DISPOSICIÓN, PENDIENTE.)",
ACTUAL LOSS,"This is a showing that the plaintiff or injured party has undergone some loss of property or other thing of value by reason of fraud, forgery, or other illegal action.  For the crime of forgery the existence of a specific intent to defraud is an essential element; however, there is no requirement of actual loss to complete the crime.",PÉRDIDA REAL,"Esta es la muestra que el demandante o grupo perjudicado ha sufrido una pérdida de propiedad u otra cosa de valor por razón de fraude, falsificación, u otra acción ilegal.  Para el delito de falsificación, la existencia de un intento específico de defraudar es un elemento esencial; sin embargo, no se requiere de una pérdida real para completar el delito.",
AD LITEM,"Comes from Latin meaning for the ""purposes of the lawsuit."" For example, a guardian ad litem is a person appointed by the court to protect the interests of a minor or legally incompetent person in a lawsuit.",AD LITEM,"Viene del latín y significa “propósitos de la demanda”.  Por ejemplo, un guardián ad litem es una persona nombrada por el tribunal para proteger los intereses de un menor o de un individuo legalmente incompetente en una demanda.",
ADD–ON,Refers to an additional matter that is added to a specific calendar at a time after the initial preparation of the calendar.,AÑADIR,Se refiere a un asunto adicional que ha sido agregado a un calendario específico después de la preparación inicial del calendario.,
ADDENDUM,A thing added or to be added.,AÑADIDO,una cosa ya añadida o por ser añadida.,
ADDICTION,A person who has become emotionally dependent on the use of a drug and the effect is an irresistible need to continue its use and has developed a tolerance to the drug and  requires larger stronger doses.,ADICCIÓN,Una persona que ha llegado a depender emocionalmente de las drogas y el efecto es un iresistible deseo de continuar su uso y ha desarollado una tolerancia a la droga y requiere dosis más grandes y fuertes.,
ADDITUR,"The power of a trial court to increase the amount of an award of money to one party made by jury verdict, as a condition of denial of motion for new trial. The defendant must consent to the increased money award, the plaintiff need not consent.",INCREMENTO,"El poder que tiene un tribunal para incrementar la cantidad de dinero adjudicada por el jurado como condición para negar la moción de un nuevo juicio. El acusado debe consentir con el incremento del dinero adjudicado, el demandante no necesita hacerlo.",
ADHESION CONTRACTS,Contract where one party has no real choice as to its terms.,CONTRATO DE ADHESIÓN,Contrato en el que una de las partes no tiene en realidad elección en cuanto a los términos del mismo.,
ADJOURNMENT,To put off a court hearing until another time or place.,SUSPENSIÓN,Aplazar una audiencia jurídica para otro momento o lugar.,
ADJUDICATE,When a judge hears and decides a case.,ADJUDICAR,Cuando un juez conoce y decide un caso.,
ADJUDICATION,The judge's decision in a case or action.,ADJUDICACIÓN,La decisión del juez en un caso o acción.,
ADMIN PER SE,"Latin meaning,“by itself, inherently.” Requires the Department of Motor Vehicles (DMV) to automatically suspend or cancel the driver's license of a driver whose blood alcohol content measures more than .08%, or who refuses to take a test to measure his/her blood alcohol level.",ADMIN PER SE,"Del latín y significa “por sí mismo, inherentemente”. Requiere que el Departamento de Vehículos (DMV) automáticamente suspenda o cancele la licencia de un conductor cuyo contenido de alcohol en la sangre es mayor del .08%, o se niegue a tomar el examen para medir la cantidad de alcohol en la sangre.",
ADMINISTER,"(1) to manage; (2) taking a drug by injection, inhalation, ingestion, or any other means, to the body for that person's immediate needs.",ADMINISTRAR,"(1) controlar; (2) administrar una droga por inyección, inhalación, ingestión o por cualquier otra manera al cuerpo para las necesidades inmediatas de la persona.",
ADMINISTRATIVE PROCEDURE,The way an executive government agency makes and enforces support orders without going to court.,PROCEDIMIENTO ADMINISTRATIVO,La manera en que una agencia de gobierno ejecutiva hace cumplir las órdenes de sustento sin ir a un tribunal.,
ADMINISTRATIVE REVIEW OR “AR”,"A review of the welfare of a child in long–term foster care by a panel of people selected by the state Department of Health & Human Services (DHHS). The review is conducted at least once a year, in place of a 6–month placement hearing by the Court. The panel reviews a report from DHHS.  The review is open to the parents of the child, parents’ attorney and child’s attorney.",REVISIÓN ADMINISTRATIVA,"La revisión del bienestar de un niño puesto en crianza temporal a largo plazo por un panel seleccionado por el Departamento de Salubridad y Servicios Humanos (DHHS). La revisión es conducida por lo menos una vez al año, en lugar de una audiencia de colocación cada 6 meses por parte del tribunal. El panel revisa el reporte del DHHS. La revisión permite la presencia de los padres del niño, el abogado de los padres y el abogado del niño.",
ADMINISTRATOR,1. Man who represents the estate of a person who dies without a will. 2. A court official.,ADMINISTRADOR,1. La persona que representa el patrimonio de un individuo que muere sin testamento. 2. Un oficial del tribunal.,
ADMINISTRATRIX,Woman who represents the estate of a person who dies without a will.,ADMINISTRADORA,Mujer que  representa el patrimonio de un individuo que muere sin testamento.,
ADMISSIBLE,Pertinent and proper to be considered in reaching a decision.,ADMISIBLE,Pertinente y apropiado para llegar a una decisión.,
ADMISSIBLE EVIDENCE,Evidence that can be legally and properly be used in court.,EVIDENCIA ADMISIBLE,Evidencia que legal y apropiadamente puede ser usada en un tribunal.,
ADMISSION,Saying that certain facts are true. But not saying you are guilty. (Compare with CONFESSION).,ADMISIÓN,Decir que ciertos datos son verídicos. Pero no  admitir que la persona es culpable. (Comparar con CONFESIÓN),
ADMONISH,"To warn, advise, or scold.",AMONESTAR,"Advertir, aconsejar o prevenir.",
ADMONITION,"Advice or caution by the court to the jury respecting their duty or conduct as jurors, and the purpose for which evidence may be considered.",ADVERTENCIA,"Consejo o amonestación del tribunal al jurado respecto de sus obligaciones y conducta como miembros del jurado, y el propósito por el cual la evidencia puede ser considerada.",
ADMONITION TO JURORS,"What the judge says to the jury about what they must do and how they must behave, what evidence they can use to make their decision (called ""admissible"" evidence), and how they can use that evidence to make a decision.",ADVERTENCIA AL JURADO,"Lo que dice el juez al jurado sobre sus obligaciones y sobre cómo deben de comportarse, qué evidencia pueden usar para llegar a su decisión (llamada evidencia “admisible”), y cómo pueden usar dicha evidencia para tomar una decisión.",
ADOPTION,The way to make the relationship between a parent and child legal when they are not related by blood.,ADOPCIÓN,La manera en que una relación entre un padre y un hijo se hace legal cuando no tienen relación sanguínea.,
ADOPTIVE ADMISSION,Action by a party that communicates agreement with the statements of another person.,ADMISIÓN ADOPTIVA,La acción por una de las partes que comunica su acuerdo con la declaración de otro individuo.,
ADVERSARY SYSTEM,"The system of trial practice in the United States and some other countries in which each of the opposing (or ""adversary"") parties has the opportunity to present and establish opposing positions before the court.",SISTEMA ADVERSARIO,El sistema de práctica de juicios que  se ejerce  en los Estados Unidos y en otros países en los cuales cada una de las partes que están opuestas (o son adversarias) tiene la oportunidad de presentar y establecer posiciones opuestas frente al tribunal.,
ADVERSE WITNESS,A person called to testify for the other side.,TESTIGO ADVERSO,Una persona llamada a testificar para el otro lado de los litigantes.,
AFFIANT,A person who makes and signs an affidavit.,DECLARANTE,Una persona que escribe y firma un declaración juramentada.,
AFFIDAVIT,"A written statement that someone swears to under oath in front of someone that is legally authorized, like a judge or notary public.",DECLARACIÓN JURAMENTADA,"Una declaración escrita que un individuo hace bajo juramento frente a alguien que tiene autorización legal, como un juez o notario público.",
AFFIRMATION,When an appellate court says that the lower court’s decision was right.,AFIRMACIÓN,Cuando un tribunal de apelación declara que la decisión del tribunal inferior fue correcta.,
AFFIRMATIVE DEFENSE,"When a defendant or person responding to a civil case has a reason that would make him or her ""not guilty"" or not at fault and gives the court new evidence to prove that. The defense has to prove what it says (called BURDEN OF PROOF). The defense has to explain this defense in their ANSWER.",DEFENSA AFIRMATIVA,Cuando un acusado o una persona respondiendo a un caso civil tiene una razón que lo haría “no culpable” o “sin falta” y provee al tribunal nueva evidencia para comprobarlo.  La defensa tiene que probar lo que afirma (llamado CARGA DE LA PRUEBA).  La defensa tiene que explicarlo en su RESPUESTA.,
AFFIRMED,"In appellate courts, it means that the decision of the trial court is correct.",AFIRMADO,"En los tribunales de apelación, quiere decir que la decisión del tribunal es correcta.",
AFTER ACQUIRED INTENT,When the defendant did not intend to commit a crime until after the crime had been committed.,INTENTO ADQUIRIDO DESPUÉS DEL HECHO,Cuando un acusado no intentaba cometer un delito hasta después que el delito había sido cometido.,
AGENT,Someone who has authority to act for another.,AGENTE,Alguien que tiene la autoridad para actuar por otra persona.,
AGENCY,"One person acts for or represents another by authority. In Traffic, the department issuing the citation.",AGENCIA,"Una persona actúa por o representa a otra persona con autoridad.  En tráfico, el departamento que emite la citación.",
AGGRAVATION,"Circumstances that may be considered as magnifying, or adding to, the degree of punishment.",AGRAVANTE,Circunstancias que pueden ser consideradas como agravantes o que pueden aumentar el grado del castigo.,
AGGRAVATED ARSON,"Deliberately setting fire with specific intent to cause injury or damage structures where defendant has been previously convicted of arson, the damage exceeds $5m, or at least 5 residences were damaged.",INCENDIO AGRAVADO,"Intencionalmente encender fuego con intento específico de lastimar o causar daño a estructuras cuando el acusado ha sido  previamente declarado culpable de incendio premeditado, el daño excede $5m, o por lo menos 5 residencias fueron afectadas.",
AGGRAVATED BATTERY,Unlawful use of force against another such as using a dangerous weapon.,AGRESIÓN  GRAVE,Ilícito uso de fuerza contra otro individuo como por ejemplo usando un arma peligrosa.,
AGGRAVATED MAYHEM,Causing permanent disability or disfigurement with specific intent to cause the injury and with extreme indifference to well–being of other person.,MUTILACIÓN CRIMINAL AGRAVADA,Causar incapacidad o desfiguración permanentes con intento específico de hacer daño y con indiferencia extrema por el bienestar de otra persona.,
AGGRAVATED TRESSPASS,Unlawfully entering property of another with specific intent to carry out prior threat of serious bodily injury.,ALLANAMIENTO AGRAVADO,Ilegalmente entrar a la propiedad de otro individuo con intento específico de ejecutar previas amenazas de daños corporales serios.,
AGGRAVATING FACTORS,Any factors associated with the commission of a crime which increase the seriousness of the offense.,FACTORES AGRAVANTES,Cualquier factor asociado con la comisión de un delito que incrementa la gravedad de la ofensa.,
AGGREGATE TERM,The total length of imprisonment.,PERIODO AGREGADO,El tiempo total de encarcelamiento.,
AGREED STATEMENT OF FACTS,"Statement of all important facts, which all the parties agree is true and correct, and which is submitted to a court for a decision.",DECLARACIÓN CONVENIDA  DE HECHOS,"Declaración de todos los hechos importantes, los cuales todas las partes se han puesto de acuerdo en que son verdaderos y correctos, y que son sometidos al tribunal para su decisión.",
AGREEMENT,When the people involved in a legal dispute agree about something.,ACUERDO,Cuando las partes involucradas en una disputa legal llegan a un acuerdo.,
AID & ABET,"to help or assist, in committing a crime.",ASISTIR E INSTIGAR,Ayudar o asistir en la comisión de un delito.,
ALLEGE,"To say, declare, or charge that something is true even though it is not proved yet.",ALEGAR,"Decir, declarar o afirmar que algo es verdadero aunque no haya sido comprobado.",
ALLEGED,"Said to be true as described; a person who is accused, but has not yet been tried in court.",PRESUNTO,"Algo de lo que se afirma es verídico tal y como se ha descrito; una persona que ha sido acusada, pero no juzgada en un tribunal.",
ALLEGATION,A statement or claim that is made and has not been proved to be true or false.,ALEGACIÓN,Una declaración que ha sido hecha y no ha sido probada de ser cierta o falsa.,
ALLEGED FATHER,A man who may be the father of the child.,PADRE PRESUNTO,Un hombre que puede ser el padre de un niño.,
ALIAS,"Known by another name; or means ""also known as"" which  A.K.A. is short for.",ALIAS,Conocido por otro nombre; o quiere decir “tambien conocido como.”,
ALIBI,A defense claim that the accused was somewhere else at the time a crime was committed.,COARTADA,Una declaración de la defensa en la que afirma que el acusado estaba en otro lugar cuando occurrió el delito.,
ALIMONY,Money the court orders you to pay to a spouse or ex–spouse. (See SPOUSAL SUPPORT).,PENSIÓN ALIMENTICA,Dinero que el tribunal ordena que se pague a un cónyuge o ex–cónyuge (ver MANUTENCIÓN CONYUGAL).,
ALLOCUTION,Defendant's statement to try to reduce punishment.,ALOCUCIÓN,Declaración del acusado hecha para tratar de reducir su castigo.,
"ALTERATION, FORGERY BY","Adding, erasing, or changing a document with the specific intent to cause it to appear different from what it originally was intended to be to cheat another person.",ALTERACIÓN O FALSIFICACIÓN,"Añadir, borrar, o cambiar un documento con la intención específica de que aparezca diferente de la que fue su intención original para estafar a otra persona.",
ALTERATION DISPUTE RESOLUTION(ADR),Methods of resolving disputes without official court proceedings.  These methods include MEDIATION and ARBITRATION.,ALTERACIÓN EN LA RESOLUCIÓN DE DISPUTAS,Métodos para resolver una disputa sin procedimientos oficiales del tribunal.  Estos métodos incluyen MEDIACIÓN y ARBITRAJE.,
AMEND,To add to or change a claim that has been filed in court.,ENMENDAR ,Añadir o cambiar una demanda que ha sido archivada en un tribunal.,
AMENDMENT,"A change made by correction, addition, or deletion.",ENMIENDA,"Un cambio hecho mediante corrección, adición o borrado.",
AMICUS CURIAE,"Someone that gives advice to the court about the law in a case, but is not part of the case. Comes from the Latin for ""friend of the court.""",AMICUS CURIAE,"Alguien que asesora al tribunal sobre la ley en un caso, pero que no es una parte del mismo. Se deriva del latín y significa “amigo del tribunal.”",
ANNOTATION,"A case summary or commentary on the law cases, statutes, and rules.",ANOTACIÓN,"Un resumen de caso o comentario sobre los precedentes de ley, estatutos, y reglamentos.",
ANNUAL REVIEW,Yearly judicial review.,REVISIÓN ANNUAL,Revisión judicial anual.,
ANNULMENT,"A legal action that says your marriage was never legally valid because of unsound mind, incest, bigamy, being too young to consent, fraud, force, or physical incapacity.",ANULACIÓN,"Una acción legal que afirma que un matrimonio nunca fue legalmente válido por incapacidad mental, incesto, bigamia, sin edad suficiente para consentir, fraude, fuerza o incapacidad física.",
ANONYMOUS,When someone's name is kept secret.,ANÓNIMO,Cuando el nombre de alguien es mantenido en secreto.,
ANSWER,A statement that a defendant writes to answer a civil complaint and says what defense they will use.,RESPUESTA,Una declaración que un acusado escribe para responder a una demanda civil y en la que dice cuál defensa va a usar.,
ANTICIPATORY BREACH,"When a person who is to perform as set forth in a contract, clearly indicates to the other party that he will not or cannot perform.",INCLUMPIMIENTO ANTICIPADO,"Cuando una persona que tiene que cumplir como afirma un contrato, claramente indica a la otra parte interesada que no cumplirá o que no puede cumplir.",
APPEAL,"When someone that loses at least part of a case asks a higher court (called an ""APPELLATE COURT"") to review the decision and say if it is right. This is called ""to appeal"" or ""to take an appeal."" The person that appeals is called the ""APPELLANT."" The other person is called the ""APPELLEE.""",APELACIÓN,Cuando la parte que pierde por lo menos parte de un caso pide a un tribunal superior (llamado “TRIBUNAL DE APELACIONES”) revisar la decisión y decir si está o no correcta.  Esto se llama “apelar” o “presentar una apelación.” La persona que apela es un “APELANTE.”  La otra persona se llama “APELADO.”,
APPEARANCE,Going to court. Or a legal paper that says you will participate in the court process.,COMPARECENCIA,Ir a tribunal. O un documento legal que declara que la persona participará en el proceso judicial.,
APPEARANCE PROGRESS REPORT (ARP),A court order for a report by the Department of Health and Human Services (DHHS) on an issue requested by the court.,REPORTE DEL PROGRESO DE COMPARECENCIA,Una orden judicial pidiendo un reporte al Departamento de Salud y Servicios Humanos sobre un asunto solicitado por el tribunal.,
APPELANT,Someone that APPEALS a court's decision. (Compare with APPELLEE.),APELANTE,Alguien que apela la decisión de un tribunal (Comparar con APELADO.).,
APPELLATE,"Having to do with appeals.  An APPELLATE COURT can review a lower court's (called a ""TRIAL COURT"" or ""superior court."") decision. For example, California Court of Appeal review the decisions of the superior courts.",APELACIÓN,Proceso relacionado con las apelaciones.  Un TRIBUNAL DE APELACIONES puede revisar la decisión del tribunal inferior (llamado TRIBUNAL DE PRIMERA INSTANCIA o TRIBUNAL SUPERIOR.)  Por ejemplo el Tribunal de Apelaciones de California revisa las decisiones o fallos de tribunales superiores.,
APPELATE COURT,A court that can review how the law was used to decide a case in a lower court.,TRIBUNAL DE APELACIONES,Un tribunal que puede revisar la manera en que se usó la ley para decidir un caso en un tribunal inferior.,
APPELATE JURISDICTION,The appellate court has the right to review and change the lower court decision.,JURISDICCIÓN DE APELACIONES,El Tribunal de Apelaciones tiene el derecho de revisar y cambiar la resolución de un tribunal inferior.,
APPELLEE,A person that answers an appeal in higher court.,APELADO,Una persona que contesta una apelación en un tribunal de apelaciones.,
ARBITRATION,"When a person that isn't involved in the case looks at the evidence, hears the arguments, and makes a decision. (Compare with MEDIATION.)",ARBITRAJE,"Cuando una persona que no está involucrada en un caso examina la evidencia, conoce los argumentos, y toma una decisión.",
ARGUMENT,Remarks made by an attorney to a judge or jury on the facts of the case or on points of law.,ARGUMENTO,observaciones hechas por un abogado a un juez o jurado sobre los hechos del caso o sobre los puntos legales.,
ARMING CLAUSE,A conduct enhancement alleging that defendant or an accomplice was armed.,CLÁUSULA DE ESTAR ARMADO,Conducta agravante en la que se alega que el acusado o el cómplice estaba armado durante la comisión del delito.,
ARRAIGN,"Process where the person who is accused is brought before the court to hear the criminal charge(s) against him or her and to plead guilty, not guilty or no contest.",FORMULAR CARGOS,"Proceso en el que el acusado tiene que comparecer ante el tribunal para la lectura de cargos en su contra y en el cual se declara culpable, no culpable, o no impugna.",
ARRAIGNMENT,"When a person that is accused of committing a crime is taken to court, told about the charges, and asked to plead ""guilty"" or ""not guilty.""",LECTURA DE CARGOS,"Cuando la persona acusada de haber cometido un delito comparece ante un tribunal y es informada de los cargos, y se le pide declararse “culpable” o “no culpable.”",
ARREARAGE,Child support that is overdue or unpaid.,ATRASO,El pago de sustento de menores retrasado o no pagado.,
ARREST,The legal capture of a person who is charged with a crime.,ARRESTO,La captura legal de una persona que ha sido acusada de un delito.,
ARREST OF JUDGEMENT,Postponing the result of a judgment already entered.,SUSPENSIÓN DE LA SENTENCIA,Posponer el resultado de un fallo anteriormente establecido.,
ARSON,"The malicious burning of someone's own house or of someone else's house, or of someone's commercial or industrial property.",INCENDIO PREMEDITADO,"El incendio malintencionado de la casa propia o de la de otra persona, o de la propiedad industrial o comercial de alguien más.",
ASSAULT,"When someone tries or threatens to hurt someone else. Can include violence, but is not battery. (See BATTERY.)",AGRESIÓN,"Cuando alguien intenta o amenaza con hacerle daño a alguien. Puede  incluir violencia, pero no es una agresión que causa lesiones o con arma peligrosa (Ver AGRESIÓN VIOLENTA.)",
ASSAULT WITH A DEADLY WEAPON,When someone tries to hurt someone and there is threat to do bodily harm without justification by use of a weapon like a gun or a knife.,AGRESIÓN  CON ARMA MORTAL,Cuando alguien intenta causar daño a otra persona y hay amenaza de daño corporal sin justificación con el uso de una arma como un cuchillo o arma de fuego.,
ASSESSMENT,Additional charges added to a case.,VALORACIÓN,Cargos adicionales añadidos a un caso.,
ASSIGNEE,"A person or business that is put in the place of the original creditor, such as a collection agency. You can assign your JUDGMENT to another person or business.",CESIONARIO,"Una persona o negocio que toma el lugar del acreedor original, como por ejemplo una agencia de cobranzas. Una persona o entidad puede ceder el fallo  judicial a otra persona o negocio.",
ASSIGNMENT,"Choosing someone to do something.  Usually for: Cases – when the court uses a calendar to give (or ""assign"") cases to judges; Lawyers – when lawyers are chosen (or ""appointed"") to represent juveniles, conservatees or defendants; and Judges – when judges are sent (or ""assigned"") to different courts to fill in while other judges are on vacation, sick, etc., or to help with cases in a court.",ASIGNACIÓN,"Escoger a alguien para hacer algo. Normalmente para: Casos – cuando el tribunal usa un calendario para dar (o “asignar”) casos a jueces; Abogados – cuando son seleccionados (o “designados”) para representar menores, personas bajo tutela o acusados; y Jueces – cuando son enviados (o “asignados”) a diferentes tribunales para reemplazar jueces que están de vacaciones, enfermos, etc., o para ayudar con procedimientos en los tribunales.",
ASSIGNMENT OF SUPORT RIGHTS,When a person who gets public assistance agrees to give the state any child support they get in the future.  The person gets money and other benefits from the state.  So the state can use part of the child support to pay for the cost of that public assistance.,TRASPASO DE DERECHOS  DE SUSTENTO,"Cuando una persona que recibe asistencia pública acuerda ceder al estado cualquier ingreso por sustento de menores que reciba en el futuro. La persona recibe dinero y otros beneficios del estado, a cambio de lo cual el estado puede usar parte del sustento de menores para pagar el costo de la asistencia pública.",
ASSIGNMENT ORDER,"A court order (made after a MOTION that says a JUDGMENT DEBTOR must assign certain rights to the JUDGMENT CREDITOR. Useful for payments that the judgment debtor would usually get, like rent from tenants, wages from the federal government, sales commissions, royalties, a business's accounts receivable, or installment payments on IOUs (also called ""PROMISSORY NOTES"" or JUDGMENTS).",ORDEN DE TRASPASO,"Una orden del tribunal (hecha después de una moción que declara que un deudor tiene que asignar ciertos derechos al acreedor). Útil para pagos que el deudor normalmente recibiría, como renta de inquilinos, sueldo del gobierno federal, comisiones de venta, regalías, cuentas de cobranza, o  pagos a plazos sobre notas de pago (llamados “PAGARÉS”.).",
ASSUMPTION OF RISK,A defense to a lawsuit for personal injury. The essence of the defense is that the plaintiff assumed the known risk of whatever dangerous condition caused the injury.,PRESUNCIÓN DE RIESGO,Defensa  en un litigio por daños personales. La esencia de la defensa es que el demandante asumió el riesgo de la condición peligrosa que causó el daño.,
AT ISSUE,The time in a lawsuit when the complaining party has stated his or her claim and the other side has responded with a denial and the matter is ready to be tried.,ASUNTO EN CUESTIÓN,El momento en una demanda en el que la parte quejante ha declarado su reclamo y la otra parte ha respondido con una negativa y el asunto está listo para ser juzgado.,
AT ISSUE MEMORANDUM,A legal paper filed in a civil case that says the case is ready to go to trial.,MEMORÁNDUM DE ASUNTO EN CUESTIÓN,Un documento legal archivado en una demanda civil que declara que el caso está listo para ir a juicio.,
ATTACHMENT,(1) Document attached to court papers to give more information; (2) A way to collect judgment: by getting a court order that says you can take a piece of property.,ANEXO,(1) Documento adjunto a archivos legales para suministrar más información; (2) Una manera de recaudar el fallo judicial: al obtener una orden judicial por la cual una persona o entidad puede apoderarse de una propiedad o parte de ella.,
ATTACHMENT FOR DEFAULTER,"A process by the court for the arrest of a person other than a defendant. (See ATTACHMENT, BENCH WARRANT.)",ARRESTO POR DEFECTO,Un proceso judicial para la detención de una persona diferente del acusado.,
ATTEMPT,An effort to do an act or commit a crime.,TENTATIVA,Preparación para un acto delictivo o para cometer un delito.,
ATTEST,"To witness, to affirm to be true or genuine, to certify.",ATESTIGUAR,"Presenciar, afirmar que algo es verídico o auténtico, certificar.",
ATTESTATION,"The act of witnessing something in writing, at the request of a party.",ATESTACIÓN,"El acto de dar testimonio sobre algo en escrito, cuando lo solicita una parte interesada.",
