english,spanish
Click 'save',Presione 'guardar' /Haga 'click' en 'Guardar'
Click the button,Presione el botón /Haga 'click' en el botón
Clip art,Imágenes prediseñadas
Clipboard,Portapapeles
Column,Columna
Column size,Tamaño de la columna
Conference platforms,Plataformas para conferencias
Conformance level,Nivel de conformidad
contact support,Ponerse en contacto/Contactar al servicio de apoyo
Context sensitive,Sensible al contexto
Copy & Paste,Copiar y pegar
Cloud migration,Migración de información a la nube
Credentials,Credenciales
Crop,Recortar
Customizable,Personalizable
Data backup,Copia de seguridad de datos
Data encryption,Codificación de datos
Data loss prevention,Prevención de pérdida de datos
Data privacy,Privacidad de datos
Data validation,Validación de datos
Databases,Bases de datos
Deepfake content,Contenido falso
Default audio device,Dispositivo de audio predeterminado
Default microphone,Micrófono predeterminado
Degraded performance,Rendimiento degradado
Device,Dispositivo
Display,Mostrar
Double clicking,Doble 'click'
Double spacing,Espaciado doble
Drag,Arrastrar
Drag & drop,Arrastrar y soltar
Echoing audio,Audio con eco
Enable waiting room,Habilitar la sala de espera
End meeting,Concluir la reunión
External hard drive,Disco duro externo
Field,Campo
File,Carpeta
Filter,Filtro
Footnotes,Notas de pie de página
Format,Formato
Forward,Reenviar
Give me a call,Llámeme
Go to the top of the page,Ir a la parte superior de la página
Header,Encabezado
Headset,Auriculares
High Definition HD,Alta Definición
Highlight,Resaltar
Host,Anfitrión(a) / organizador(a)
Inbox,Bandeja de entrada
"Input, process and output","Entrada, proceso y salida"
Insert,Insertar
Install,Instalar
Install programas,Instalar programas
IP address,Dirección IP
ISP,Proveedor de internet
Join a meeting,Únase a una reunión
Launch a meeting,Iniciar una reunión
Leave meeting,Abandonar la reunión
link,Vínculo/enlace
Linked,Vinculado
Low Light,Luz baja
Managed domains,Dominios administrados/Dominios gestionados
MIC Audio,Audio del micrófono
Network speeds,Velocidad de la red
Networking,Red / Red de trabajo / Networking
On click,Al hacer 'click'
Operational,Operativo
Optimize,Optimizar
Outline view,Vista de esquema
Output devices,Dispositivos de salida
Page orientation,Orientación de la página
Participants,Participantes
Permanent storage,Almacenamiento permanente
Podcast,Podcast
Press the key,Presione la tecla
Print,Imprimir
Print Screen,Pantallazo  - informal
Privacy,Privacidad
Privacy policy,Póliza de seguridad
Profile,Perfil
Profile picture,Foto de perfil/Fotografía de perfil
Publish,Publicar
RAM,Memoria RAM
Record,Grabar
Reply,Responder
Reply to all above,Responder a todos
Resize,Ajustar tamaño
Resolved issues,Problemas resueltos
Row,Fila
Screen capture,Captura de pantalla
Scroll to the bottom of the page,Desplácese hasta el final de la página
Security,Seguridad
Segmentation,Segmentación
Settings cog,Engranajes de configuración
Share sound,Compartir el sonido
Sign me up,Registrarme /Inscribirme
Sign up,Regístrate/Regístrese
Single spacing,Espaciado sencillo
Smart performance,Rendimiento inteligente
Source file,Archivo de origen
Spacebar,Barra espaciadora
Speakers,Bocinas
Start,Inicio/Iniciar
Start Meeting,Empezar la reunión
Start over,Volver a empezar
Start Video,Abrir la Cámara
Statistics,Estadísticas
Status,Estado
Stop Video,Cerrar la cámara
Storage,Almacenamiento
Suspend,Suspender
Table,Tabla
Terms and conditions,Términos y condiciones
Text me,Mándeme un mensaje
Text message,Mensaje de texto
Toolbar,Barra de herramientas
Touch keyboard,Teclado táctil
Touch up my appearance,Retocar mi imagen
Turn off,Apagar
Turn on,Encender
Type,Escribir (en teclado)
Type answer,Escriba su respuesta
Update,Actualización
Update available,Actualización disponible
Upgrade to the latest version,Actualice a la más reciente versión
Upload,Subir/cargar
Upload an image,Subir una imagen
Video clip,Un vídeo/ Un vídeo clip
Video Settings,Configuración de Vídeo
View,Formato de Vista/Vista
Voice message,Mensaje de voz
Vulnerability,Vulnerabilidad
Watermark,Marca de agua
Word processing,Procesamiento de textos
Worksheet,Hoja de trabajo electrónica
Zoom meeting,Reunión en Zoom
